"split","rel_path","abs_path","label","class_name","exists","is_reverse","base_id"
"train","train/drink/01v840Om0d8-a54_76-b77_176.mp4","/path/to/RetailCabinet-4/videos/train/drink/01v840Om0d8-a54_76-b77_176.mp4","0","drink","1","0","01v840Om0d8-a54_76-b77_176"
"train","train/drink/01v840Om0d8-a54_76-b77_176__rev.mp4","/path/to/RetailCabinet-4/videos/train/drink/01v840Om0d8-a54_76-b77_176__rev.mp4","0","drink","1","1","01v840Om0d8-a54_76-b77_176"
"train","train/drink/0Pt21Ox6K6-a52_67-b68_154.mp4","/path/to/RetailCabinet-4/videos/train/drink/0Pt21Ox6K6-a52_67-b68_154.mp4","0","drink","1","0","0Pt21Ox6K6-a52_67-b68_154"
"train","train/drink/0Pt21Ox6K6-a52_67-b68_154__rev.mp4","/path/to/RetailCabinet-4/videos/train/drink/0Pt21Ox6K6-a52_67-b68_154__rev.mp4","0","drink","1","1","0Pt21Ox6K6-a52_67-b68_154"
"train","train/drink/0r67iR90eh0-a60_104-b105_219.mp4","/path/to/RetailCabinet-4/videos/train/drink/0r67iR90eh0-a60_104-b105_219.mp4","0","drink","1","0","0r67iR90eh0-a60_104-b105_219"
"train","train/drink/0r67iR90eh0-a60_104-b105_219__rev.mp4","/path/to/RetailCabinet-4/videos/train/drink/0r67iR90eh0-a60_104-b105_219__rev.mp4","0","drink","1","1","0r67iR90eh0-a60_104-b105_219"
"train","train/drink/0uOZ5500u2-a58_68-b69_153.mp4","/path/to/RetailCabinet-4/videos/train/drink/0uOZ5500u2-a58_68-b69_153.mp4","0","drink","1","0","0uOZ5500u2-a58_68-b69_153"
"train","train/drink/0uOZ5500u2-a58_68-b69_153__rev.mp4","/path/to/RetailCabinet-4/videos/train/drink/0uOZ5500u2-a58_68-b69_153__rev.mp4","0","drink","1","1","0uOZ5500u2-a58_68-b69_153"
"train","train/drink/0X6XA05cW4q-a58_82-b83_205.mp4","/path/to/RetailCabinet-4/videos/train/drink/0X6XA05cW4q-a58_82-b83_205.mp4","0","drink","1","0","0X6XA05cW4q-a58_82-b83_205"
"train","train/drink/0X6XA05cW4q-a58_82-b83_205__rev.mp4","/path/to/RetailCabinet-4/videos/train/drink/0X6XA05cW4q-a58_82-b83_205__rev.mp4","0","drink","1","1","0X6XA05cW4q-a58_82-b83_205"
"train","train/drink/1163HmDD0g-a53_75-b76_166.mp4","/path/to/RetailCabinet-4/videos/train/drink/1163HmDD0g-a53_75-b76_166.mp4","0","drink","1","0","1163HmDD0g-a53_75-b76_166"
"train","train/drink/1163HmDD0g-a53_75-b76_166__rev.mp4","/path/to/RetailCabinet-4/videos/train/drink/1163HmDD0g-a53_75-b76_166__rev.mp4","0","drink","1","1","1163HmDD0g-a53_75-b76_166"
"train","train/drink/169r49YZ4d4-a81_103-b104_218.mp4","/path/to/RetailCabinet-4/videos/train/drink/169r49YZ4d4-a81_103-b104_218.mp4","0","drink","1","0","169r49YZ4d4-a81_103-b104_218"
"train","train/drink/169r49YZ4d4-a81_103-b104_218__rev.mp4","/path/to/RetailCabinet-4/videos/train/drink/169r49YZ4d4-a81_103-b104_218__rev.mp4","0","drink","1","1","169r49YZ4d4-a81_103-b104_218"
"train","train/drink/16K53827C3-a47_64-b65_151.mp4","/path/to/RetailCabinet-4/videos/train/drink/16K53827C3-a47_64-b65_151.mp4","0","drink","1","0","16K53827C3-a47_64-b65_151"
"train","train/drink/16K53827C3-a47_64-b65_151__rev.mp4","/path/to/RetailCabinet-4/videos/train/drink/16K53827C3-a47_64-b65_151__rev.mp4","0","drink","1","1","16K53827C3-a47_64-b65_151"
"train","train/drink/19xG0Ww586-a54_90-b91_203.mp4","/path/to/RetailCabinet-4/videos/train/drink/19xG0Ww586-a54_90-b91_203.mp4","0","drink","1","0","19xG0Ww586-a54_90-b91_203"
"train","train/drink/19xG0Ww586-a54_90-b91_203__rev.mp4","/path/to/RetailCabinet-4/videos/train/drink/19xG0Ww586-a54_90-b91_203__rev.mp4","0","drink","1","1","19xG0Ww586-a54_90-b91_203"
"train","train/drink/1bh2Up6ixM-a62_82-b83_181.mp4","/path/to/RetailCabinet-4/videos/train/drink/1bh2Up6ixM-a62_82-b83_181.mp4","0","drink","1","0","1bh2Up6ixM-a62_82-b83_181"
"train","train/drink/1bh2Up6ixM-a62_82-b83_181__rev.mp4","/path/to/RetailCabinet-4/videos/train/drink/1bh2Up6ixM-a62_82-b83_181__rev.mp4","0","drink","1","1","1bh2Up6ixM-a62_82-b83_181"
"train","train/drink/1eh7CZ4I316-a74_135-b136_304.mp4","/path/to/RetailCabinet-4/videos/train/drink/1eh7CZ4I316-a74_135-b136_304.mp4","0","drink","1","0","1eh7CZ4I316-a74_135-b136_304"
"train","train/drink/1eh7CZ4I316-a74_135-b136_304__rev.mp4","/path/to/RetailCabinet-4/videos/train/drink/1eh7CZ4I316-a74_135-b136_304__rev.mp4","0","drink","1","1","1eh7CZ4I316-a74_135-b136_304"
"train","train/drink/24E69ZKw7OR-a54_77-b78_176.mp4","/path/to/RetailCabinet-4/videos/train/drink/24E69ZKw7OR-a54_77-b78_176.mp4","0","drink","1","0","24E69ZKw7OR-a54_77-b78_176"
"train","train/drink/24E69ZKw7OR-a54_77-b78_176__rev.mp4","/path/to/RetailCabinet-4/videos/train/drink/24E69ZKw7OR-a54_77-b78_176__rev.mp4","0","drink","1","1","24E69ZKw7OR-a54_77-b78_176"
"train","train/drink/2G515bvQ697-a55_69-b70_166.mp4","/path/to/RetailCabinet-4/videos/train/drink/2G515bvQ697-a55_69-b70_166.mp4","0","drink","1","0","2G515bvQ697-a55_69-b70_166"
"train","train/drink/2G515bvQ697-a55_69-b70_166__rev.mp4","/path/to/RetailCabinet-4/videos/train/drink/2G515bvQ697-a55_69-b70_166__rev.mp4","0","drink","1","1","2G515bvQ697-a55_69-b70_166"
"train","train/drink/2PG189774Y-a54_78-b79_187.mp4","/path/to/RetailCabinet-4/videos/train/drink/2PG189774Y-a54_78-b79_187.mp4","0","drink","1","0","2PG189774Y-a54_78-b79_187"
"train","train/drink/2PG189774Y-a54_78-b79_187__rev.mp4","/path/to/RetailCabinet-4/videos/train/drink/2PG189774Y-a54_78-b79_187__rev.mp4","0","drink","1","1","2PG189774Y-a54_78-b79_187"
"train","train/drink/3646L29050w-a50_70-b71_167.mp4","/path/to/RetailCabinet-4/videos/train/drink/3646L29050w-a50_70-b71_167.mp4","0","drink","1","0","3646L29050w-a50_70-b71_167"
"train","train/drink/3646L29050w-a50_70-b71_167__rev.mp4","/path/to/RetailCabinet-4/videos/train/drink/3646L29050w-a50_70-b71_167__rev.mp4","0","drink","1","1","3646L29050w-a50_70-b71_167"
"train","train/drink/36s3Kj77IgJ-a53_84-b85_173.mp4","/path/to/RetailCabinet-4/videos/train/drink/36s3Kj77IgJ-a53_84-b85_173.mp4","0","drink","1","0","36s3Kj77IgJ-a53_84-b85_173"
"train","train/drink/36s3Kj77IgJ-a53_84-b85_173__rev.mp4","/path/to/RetailCabinet-4/videos/train/drink/36s3Kj77IgJ-a53_84-b85_173__rev.mp4","0","drink","1","1","36s3Kj77IgJ-a53_84-b85_173"
"train","train/drink/37KUh279s56-a51_65-b66_154.mp4","/path/to/RetailCabinet-4/videos/train/drink/37KUh279s56-a51_65-b66_154.mp4","0","drink","1","0","37KUh279s56-a51_65-b66_154"
"train","train/drink/37KUh279s56-a51_65-b66_154__rev.mp4","/path/to/RetailCabinet-4/videos/train/drink/37KUh279s56-a51_65-b66_154__rev.mp4","0","drink","1","1","37KUh279s56-a51_65-b66_154"
"train","train/drink/3gh23LmP358-a52_70-b71_153.mp4","/path/to/RetailCabinet-4/videos/train/drink/3gh23LmP358-a52_70-b71_153.mp4","0","drink","1","0","3gh23LmP358-a52_70-b71_153"
"train","train/drink/3gh23LmP358-a52_70-b71_153__rev.mp4","/path/to/RetailCabinet-4/videos/train/drink/3gh23LmP358-a52_70-b71_153__rev.mp4","0","drink","1","1","3gh23LmP358-a52_70-b71_153"
"train","train/drink/3o79it9fkT-a52_77-b78_159.mp4","/path/to/RetailCabinet-4/videos/train/drink/3o79it9fkT-a52_77-b78_159.mp4","0","drink","1","0","3o79it9fkT-a52_77-b78_159"
"train","train/drink/3o79it9fkT-a52_77-b78_159__rev.mp4","/path/to/RetailCabinet-4/videos/train/drink/3o79it9fkT-a52_77-b78_159__rev.mp4","0","drink","1","1","3o79it9fkT-a52_77-b78_159"
